train_loss,val_loss
-3.94026893320175,-3.8559674194880893
-4.0888616137992075,-3.885222591672625
-4.2075553016540725,-3.433339786529541
-4.254569509920602,-3.5081847395215715
-4.0853122548935135,-3.842587811606271
-3.969197270207512,-3.764509970801217
-4.182881653784944,-3.879318148749215
-4.106294782778707,-3.843490328107561
-4.2134538591860204,-3.66513762814658
-4.334432780552215,-3.8895064932959422
-4.29026497667209,-3.5100935186658586
-4.26624381770722,-3.8938062122889927
-4.093044955509539,-3.7912386894226073
-4.305679047831331,-3.8402020147868563
-4.283370087702815,-3.9456824575151717
-4.28974768490837,-3.7774589913231984
-4.157427292281446,-3.670067732674735
-4.246367769881179,-4.0212017468043735
-4.438672350618405,-4.13328709602356
-4.490611106823809,-4.065431785583496
-4.25876239237313,-3.9207593985966276
-4.549548294597541,-4.080935158048358
-4.47215574846481,-3.91174111366272
-4.344456713610945,-3.818361493519374
-4.409836001289539,-3.991502618789673
-4.304689547886102,-3.0027264424732754
-4.396338288395549,-3.9358957358769007
-4.296985960996951,-3.6853068598679135
-4.410353424450079,-4.038539692333766
-4.43318115122402,-3.9840681450707573
-4.303980711169136,-4.145548330034528
-4.458156090574905,-3.987027883529663
-4.549374371671829,-3.9953542368752615
-4.286496417210125,-3.713982970373971
-4.379513502882692,-3.9922528743743895
-4.492173295432386,-3.9050442491258894
-4.3949759261676675,-3.647558832168579
-4.563996372512355,-4.188285756111145
-4.511435976424537,-4.047011126790728
-4.418316732580289,-4.142282710756574
-4.19633029253719,-4.145143795013428
-4.49716595072335,-3.9198171275002616
-4.259598074629665,-4.02597075189863
-4.543088789565114,-4.075494807107108
-4.530927704546017,-3.8973679304122926
-4.508394628287124,-3.953762660707746
-4.43649722326297,-3.9037767887115478
-4.3378929356797435,-3.8680569308144706
-4.4202036891882415,-4.061064611162458
-4.577869359296732,-4.143915694100516
