train_loss,val_loss
-0.39463515482105005,-1.516047978401184
-1.5428569748664436,-2.027412235736847
-1.901586703456248,-2.166366297858102
-2.2099008985792103,-2.805162218638829
-2.543414039257616,-2.6703552935804638
-2.6556957394551164,-2.918724298477173
-2.860564255331176,-2.5224928855895996
-2.8256909249784847,-2.869406383378165
-2.820633424928013,-3.1975152662822177
-2.9890566188306473,-2.957526990345546
-3.128269753850306,-3.2214991194861278
-3.320451789580214,-3.477760771342686
-3.384885000154233,-3.353307100704738
-3.42684224314583,-3.4415777138301302
-3.46003853474943,-3.553506326675415
-3.6360526446717234,-3.4694640261786325
-3.5388023746661106,-3.5147281186921258
-3.6864623355027586,-3.7557619026729037
-3.7427219982726125,-3.7805107116699217
-3.814013336603634,-3.7739636523383004
-3.8372313892498564,-3.5898655482700894
-3.7886872044005715,-3.9395181383405413
-3.926113278625872,-3.709639801297869
-3.99815298193179,-3.724162333352225
-3.9956175222183568,-3.756222895213536
-3.9854003397611004,-3.4799028192247663
-3.854476447303455,-3.918299457005092
-3.907895525042622,-3.728785937173026
-3.9769715337326734,-3.0471154042652677
-4.033992028845765,-3.8534078325544083
-4.003580188218017,-3.6506008897508893
-3.945520482885952,-3.6506144183022635
-4.018654771887076,-3.800342392921448
-3.9918507992649994,-3.944240917478289
-4.048825967806978,-3.950735480444772
-4.185046788221731,-4.121905449458531
-4.264338909817961,-4.011113820757185
-4.259617326739497,-3.7979898044041227
-4.173307109945498,-4.031058444295611
-4.235933874742672,-4.096042745453971
-4.301623308049224,-4.110330132075719
-4.24831467276564,-3.875072775568281
-4.311016253769969,-3.8688123839242117
-4.229134680744939,-4.007685824802944
-4.145103720049508,-4.013416126796177
-4.233175866139201,-3.98950366292681
-4.293827854025478,-4.034388143675668
-4.266715983994091,-3.5208180972508023
-4.247746046358785,-3.706952844347273
-4.259530426976018,-3.8879190070288523
-4.199633247364824,-3.8981539521898543
-4.181837760983184,-4.149763168607439
-4.394152924656487,-4.145297595432827
-4.4014064069754015,-4.08718067577907
-4.313155594296729,-3.890640936579023
-4.347681056958037,-4.039529773167201
-4.317489598886654,-4.222982546261378
-4.270702199814038,-4.20874958378928
-4.4260286340317405,-4.039081685883659
-4.4914352383476475,-3.6524772780282158
-4.467053027579579,-4.170254332678659
-4.3826095181913045,-3.953493635995047
-4.358389321226662,-4.106390125410897
-4.359860611799807,-3.9925743647984095
-4.442767044606681,-4.202851724624634
-4.376494850784826,-4.0769645656858176
-4.407728422183198,-4.203830691746303
-4.311017384353918,-4.2947441611971175
-4.534053335174585,-4.2378960132598875
-4.565184178443762,-4.2986082894461495
-4.55155886324069,-4.056231628145491
-4.403469846652339,-4.026154558999198
-4.5376966479487315,-4.166202695029122
-4.411503799521504,-4.003272540228707
-4.495198150031483,-4.277377230780465
-4.522839828421133,-4.173446989059448
-4.515488908694575,-4.181542634963989
-4.531654648887463,-4.2589328016553605
-4.618477335372291,-4.244669437408447
-4.486525750007873,-4.123984003067017
-4.598346419608631,-4.2812656266348705
-4.573821593397342,-4.110624245234898
-4.517991056457495,-3.980473348072597
-4.483603021588189,-4.02320659501212
-4.613713428997003,-3.9462564434323992
-4.65505320462175,-4.208212845666068
-4.527900842051156,-4.157991429737636
-4.584630705678044,-4.15515159198216
-4.610421719261632,-4.3829560143607
-4.570045339032864,-4.211360583986555
-4.480466679643137,-4.107672371183123
-4.381298413672767,-4.289845132827759
-4.5181216184323585,-4.150129284177508
-4.62773261055017,-4.275601032802037
-4.5857288768878,-4.29716980116708
-4.651149961895074,-4.284192981038775
-4.632490643297141,-3.8224745682307653
-4.595480395201296,-4.2558372020721436
-4.546354989274241,-4.139035906110491
-4.64487855960005,-4.277780832563128
-4.623190805173149,-4.1443655354636055
-4.644258811450995,-4.139638311522347
-4.568125242623277,-4.123131687300546
-4.564439677201902,-4.296401756150382
-4.544466009916969,-3.9238461903163366
-4.605446004067747,-3.6570572921207973
-4.659378766251829,-4.370586517878941
-4.609713025938588,-4.404799699783325
-4.752905035171265,-3.9597529343196323
-4.7632516001740965,-4.5427314485822405
-4.697392742473858,-4.336692789622716
-4.634027779292755,-4.250126198359898
-4.66001313524886,-3.6602632454463415
-4.653656340635623,-4.304730946677072
-4.749853893590811,-4.1065915584564205
-4.732545354114935,-4.458543518611363
-4.699068262935065,-4.207222604751587
-4.812425287767721,-4.323794664655413
-4.768578232667697,-3.6715171200888497
-4.713190450455053,-4.1816988263811385
-4.665671876444223,-3.9388807228633334
-4.640002780828994,-4.0029063190732685
-4.803349088175228,-4.16954551083701
-4.804428256357821,-4.399399948120117
-4.753582631437162,-4.274022994722639
-4.744179719553207,-4.125196099281311
-4.805076314618412,-4.048296029227121
-4.698144131194288,-4.418747557912554
-4.863869484240254,-4.264830088615417
-4.666778233485481,-3.9721896171569826
-4.702096242112473,-4.4391650812966486
-4.8476447933398115,-4.203542164393833
-4.834323280916427,-4.35117643220084
-4.773718671676831,-4.187967814717974
-4.822118727924725,-4.396414845330375
-4.811191854385522,-4.181156771523612
-4.483330462877743,-2.4289312328611103
-4.797046696416105,-4.143812782423836
-4.61565503773217,-4.509719010761806
-4.887559681273878,-4.086234167643956
-4.696137799812963,-4.429112817559924
-4.708605851989965,-4.153305377279009
-4.754478551709233,-4.010085194451468
-4.737201069871458,-4.453830514635358
-4.666472855086525,-4.019900488853454
-4.817095453746783,-4.127776690891811
-4.707983950075631,-3.8521320479256764
-4.79938207685757,-4.039426824024745
-4.531107734948302,-3.997699465070452
-4.710884911945453,-4.461117110933576
