train_loss,train_psnr,train_mse,val_loss,val_psnr,val_mse
0.08466697820695117,24.430200576782227,0.003880989970639348,0.054411699227057395,27.859174728393555,0.002216136083006859
0.055780107842292634,25.89790916442871,0.002669326728209853,0.051076043001376095,28.41657066345215,0.002008153358474374
0.05302704449277371,26.218290328979492,0.002497311681509018,0.04899215160403401,28.592496871948242,0.001950728939846158
0.05144418836571276,26.408796310424805,0.0023976138327270746,0.0482030140934512,28.727930068969727,0.0019096588948741555
0.050306461157742885,26.502643585205078,0.0023311313707381487,0.04772628815844655,28.738370895385742,0.0019178634975105524
0.049725274153752254,26.596912384033203,0.0022916400339454412,0.04889141474850476,28.41550064086914,0.0020002429373562336
0.04910308801336214,26.648258209228516,0.002256295643746853,0.04680481632240117,29.005191802978516,0.0018266249680891633
0.048613246658351275,26.721342086791992,0.002226795768365264,0.04652520571835339,29.008188247680664,0.0018197133904322982
0.048204933665692805,26.770233154296875,0.0022014081478118896,0.04591206528712064,29.06928825378418,0.0018110970268025994
0.04792893378180452,26.8131103515625,0.0021821053232997656,0.045767744863405825,29.19663429260254,0.0017778829205781221
