index,blur_kernel_size,blur_sigma,noise_sigma,psnr,mse
0,5,5.0,0.0,25.94435691833496,0.003123994218185544  
1,5,10.0,0.0,25.846689224243164,0.003192249918356538 
2,5,15.0,0.0,25.829269409179688,0.0032047138083726168
3,5,0.0,15.0,24.862524032592773,0.0032659361604601145
4,5,0.0,20.0,22.45125389099121,0.00569122564047575   
5,5,0.0,25.0,20.604713439941406,0.008708277717232704 
6,5,10.0,15.0,22.074466705322266,0.006487925536930561 
