train_loss,val_loss
0.7757210324818905,-1.162371838944299
-1.262351548138518,-1.7203377698149
-1.6710760124956077,-2.0395792995180404
-1.9976538821055105,-2.1115371418850764
-2.234730648775451,-2.2711284722600666
-2.4259077504800914,-2.682013429914202
-2.6309763829643353,-2.4049381375312806
-2.6625900156200886,-2.738653419698988
-2.8269751890779684,-3.0287765775408064
-2.9365671139936476,-3.1988128900527952
-3.1225311246733316,-3.2377249581473215
-3.288772770962395,-3.5754781927381245
-3.3568674817252844,-3.2799021584647043
-3.4734837810833232,-3.4220322370529175
-3.3939485692749387,-3.5268515825271605
-3.4313131902164544,-3.345449069568089
-3.463269069171942,-2.1836317334856306
-3.4506538184686972,-3.537870843069894
-3.462703086316776,-3.5911196776798793
-3.480102619424034,-3.6323400633675713
-3.6444573718518876,-3.2186362028121946
-3.6610070659329716,-3.7219589676175797
-3.6974198006974244,-3.561304361479623
-3.768451162801383,-3.7555527448654176
-3.736848012136575,-3.5926253455025807
-3.832049384665565,-3.6619161265236992
-3.8435856901799528,-3.4488426991871424
-3.8184289439036823,-3.9096463986805507
-3.9946278665012445,-3.7900296964815685
-3.944541747577655,-3.6295880317687987
-3.9147569413383168,-3.811936252457755
-4.016220840211874,-3.752832865715027
-3.9698465567427323,-3.683893156051636
-3.843291790150225,-3.705347558430263
-3.945841504742924,-3.755533034460885
-3.8920849866379563,-3.911525665010725
-3.9619126306555144,-3.802554556301662
-4.0508736672873695,-3.879324402127947
-4.026427380574016,-3.8970595836639403
-3.9886990873196635,-3.6990750517163957
-4.032103868338247,-3.689902176175799
-4.011897657245112,-3.9068269831793647
-4.029499717413808,-3.646001866885594
-4.061685752183104,-3.7482162509645733
-4.112709968615644,-3.787445616722107
-3.926301122854312,-3.97385527747018
-4.016009991351789,-3.850816556385585
-4.1314472329502285,-3.8468254634312222
-4.082931269472018,-3.5929670878819056
-4.030589580535889,-3.5421872343335834
-4.051732185549629,-3.779772278240749
-4.112250817088654,-3.6634385653904507
-4.004186919322029,-3.8378660951341903
-4.102306119550151,-3.861922461645944
-4.0994160365753665,-3.892292993409293
-4.118461252401431,-3.92949241910662
-3.9877498005144894,-4.004770319802421
-4.118323165768633,-3.640028602736337
-4.07882732248154,-3.8991806507110596
-4.060494753880242,-3.8100247383117676
-4.171247925621252,-3.6572911398751393
-4.1815184408102555,-3.936811740057809
-4.1089501586585,-3.825778773852757
-4.036351573733857,-3.9511073657444546
-4.153102968828366,-3.8945530448641095
-4.1070868508122595,-3.7820252554757254
-4.091220407821119,-3.6400900091443744
-4.0979396424735315,-4.012586668559483
-4.129331015931151,-3.3054738691874914
-4.232202998555887,-3.854546615055629
-4.165309391082666,-4.03420843396868
-4.253234227815756,-4.00714772769383
-4.224296762539556,-3.7203522137233187
-4.250692738511692,-3.9101540565490724
-4.282108380581243,-3.886745950153896
-4.2106089949988705,-3.87431252343314
-4.261727580247215,-3.892094475882394
-4.251378781879291,-3.8104740279061455
-4.226170465588189,-4.090737513133457
-4.305990543609229,-3.9359464509146553
-4.168600652926266,-4.079645436150687
-4.326909473909738,-3.983981612750462
-4.347942226420576,-3.9266699893133983
-4.317933791742538,-3.855277977670942
-4.322534219715923,-3.9271595409938267
-4.24745091957787,-3.995720246859959
-4.309984187539012,-3.5765327113015313
-4.2847097799800835,-4.030569788387844
-4.251267620549796,-4.034147187641689
-4.319109759391687,-3.6716278416769845
-4.303516168944752,-4.140519748415266
-4.272752126946616,-3.960212799480983
-4.277007580374757,-4.12662524836404
-4.305047442356999,-4.185477658680507
-4.424384969872788,-4.147134065628052
-4.374550898235065,-3.946255602155413
-4.410181427916018,-3.6261068105697634
-4.2300240563127565,-3.979284014020647
-4.402711280618613,-4.1369895866939
-4.384002468456475,-4.045996032442365
-4.498951197051393,-4.0033042430877686
-4.374601685581878,-3.4258975097111293
-4.3555867965229025,-3.8109913417271204
-4.391700217518181,-3.6586173840931484
-4.461734773632817,-4.0970770461218695
-4.141606264030591,-3.9911193779536656
-4.280840074673248,-4.137052382741656
-4.408297124762123,-4.235958848680768
-4.506691251319056,-4.124255112239292
-4.418863669751932,-4.188504695892334
-4.515109695756016,-4.15226902280535
