train_loss,train_psnr,train_mse,val_loss,val_psnr,val_mse
0.035413370991591364,24.2484188079834,0.0040507083758711815,0.02887704848544672,26.398427963256836,0.0033983804751187563
0.025082642497727646,26.266143798828125,0.0024678483605384827,0.026881790068000556,27.04610252380371,0.0029597284737974405
0.023742779408348725,26.590951919555664,0.002272078301757574,0.025773291260702536,27.35323143005371,0.002786403987556696
0.0231186408578651,26.786014556884766,0.0021848902106285095,0.025148802652256563,27.521387100219727,0.0027070469222962856
0.022707664241897872,26.9077091217041,0.002125306986272335,0.02463219433557242,27.693817138671875,0.0026125027798116207
0.022392520905123094,26.975666046142578,0.0020806780084967613,0.024313457764219493,27.753564834594727,0.002585920039564371
0.022152761527104305,27.053770065307617,0.0020481885876506567,0.02408339295652695,27.876996994018555,0.0025151949375867844
0.02195236363913864,27.111007690429688,0.0020204237662255764,0.02394286768976599,27.915868759155273,0.002493063686415553
0.021806383365765215,27.176687240600586,0.0019995938055217266,0.023957683733897284,27.9171142578125,0.002486285986378789
0.021678516949759797,27.223447799682617,0.001980453496798873,0.023678074590861797,28.014982223510742,0.0024531609378755093
