train_loss,train_psnr,val_loss,val_psnr
0.00397795387129832,24.30169677734375,0.0025754569868643917,27.150028228759766
0.0021556511974782588,26.869230270385742,0.002152965556181372,28.273244857788086
0.0020461685593648514,27.09952735900879,0.002096701355511405,28.599102020263672
0.001989619925411974,27.219432830810547,0.002057731553350953,28.670352935791016
0.001984205314669075,27.23006248474121,0.001991309885162545,28.89853286743164
0.001958468368128414,27.294139862060547,0.0019949260835741335,28.90473747253418
0.001943121325145838,27.32363510131836,0.0020249717151770864,28.763734817504883
0.0019341536332402303,27.348731994628906,0.0019804465479710586,28.906368255615234
0.0019390873156637854,27.341899871826172,0.0019601671340099547,28.98810386657715
0.0019232650796732072,27.372766494750977,0.001968632693315844,29.00893783569336
