train_loss,train_psnr,val_loss,val_psnr
16903878980987.723,-79.99523162841797,834765731.6,-89.02579498291016
601139883.4,-87.70280456542969,484522747.6,-86.65351867675781
381730106.75,-85.74706268310547,325781120.6,-84.93991088867188
266958392.6,-84.20559692382812,236456243.4,-83.54051971435547
198025698.8,-82.9133071899414,179592694.8,-82.33988952636719
154437519.75,-81.83412170410156,142625735.3,-81.35081481933594
125009146.85,-80.91986083984375,116362115.0,-80.46858978271484
102747463.4,-80.06127166748047,95595548.5,-79.62035369873047
85274206.425,-79.24406433105469,79604792.05,-78.8242416381836
71237040.8125,-78.47224426269531,66261933.15,-78.05368041992188
