train_loss,train_psnr,val_loss,val_psnr
0.007073860845412128,22.775566272437572,0.004885718948207796,23.258115386962892
0.004738282728794729,23.2686775803566,0.0046459258970571685,23.44915602207184
0.004468204635486472,23.51897335648537,0.0043831816496094685,23.708073091506957
0.004000066786829848,24.01195433139801,0.003900748409796506,24.25481927394867
0.0036587272697943263,24.399040299654008,0.0036931442125933247,24.499806022644044
0.003584176456934074,24.48737640976906,0.00365416728600394,24.5535847902298
0.003556973911327077,24.522918367385863,0.0036635528958868235,24.533532357215883
0.003311585513438331,24.847974443435668,0.0031387979615828954,25.31359705924988
0.0027432879716798196,25.671061396598816,0.0034791711368598044,25.305879497528075
0.0026485090817004674,25.825055056810378,0.003030391180072911,25.829510855674744
