train_loss,train_psnr,train_mse,val_loss,val_psnr,val_mse
0.048378927150183326,26.85386085510254,0.0021685976535081863,0.04579215721086652,28.829410552978516,0.0020673531107604504
0.04503740075017976,27.24024772644043,0.001985368086025119,0.04475306968428722,29.020719528198242,0.0019911339040845633
0.0442318474603729,27.336727142333984,0.0019421998877078295,0.045159955025334264,28.89348602294922,0.0020276145078241825
0.04383264223161979,27.388689041137695,0.0019205372082069516,0.04398503821224572,29.099576950073242,0.0019752890802919865
0.04356461519568737,27.425765991210938,0.0019063401268795133,0.04366465433136085,29.163074493408203,0.001948219956830144
0.04336665288922992,27.448240280151367,0.0018955172272399068,0.04349290463076202,29.190841674804688,0.001942819682881236
0.04322616512939896,27.460250854492188,0.001887658378109336,0.04359248579361142,29.18873405456543,0.0019423005869612098
0.04311843770182744,27.47933006286621,0.0018813448259606957,0.04383061004227098,29.1722354888916,0.0019339143764227629
0.043026804408928344,27.490041732788086,0.0018761653918772936,0.04330603065175655,29.20844078063965,0.001934414147399366
0.04294268266179265,27.50040626525879,0.0018714749021455646,0.0433057124686937,29.227279663085938,0.0019217099761590362
