train_loss,train_psnr,val_loss,val_psnr
0.006678013357304735,22.791635346412658,0.004663903141045011,23.474116706848143
0.0046833758962748105,23.312751048803328,0.0043694194027921185,23.727822613716125
0.004203373980999459,23.791308265924453,0.0036494232423137873,24.57819721698761
0.0037811083704582414,24.249383276700975,0.005450750980526209,23.33057835102081
0.0037060405280499253,24.33695046901703,0.0034368392545729874,24.84746208190918
0.0036212991893989966,24.437056368589403,0.003795614594127983,24.398737478256226
0.003331558081845287,24.816683185100555,0.0028173678481834942,25.836975264549256
0.0027592271071625873,25.63933634161949,0.0024398028588620948,26.5027884721756
0.0027231363870669155,25.70192654132843,0.0024223580447142014,26.55121479034424
0.002876097767148167,25.485917973518372,0.00242791777709499,26.54934389591217
